td_x1_d,adrc_u,eso_z3,eso_z2,esf_e1_d,eso_z1_d,yaw_actual,yaw_dps,yaw_imu_d,yawenc
140.546,-0.0554497,2.34148,-0.153269,-0.00415276,140.55,140.551,0.58,22.73,140.56
140.546,-0.0574712,2.54976,-0.0685786,-0.00390687,140.55,140.552,0.58,22.73,140.549
140.546,-0.0574712,2.54976,-0.0685786,-0.00390687,140.55,140.552,0.58,22.73,140.549
140.546,-0.0633458,2.79071,0.0255702,-0.00397517,140.55,140.552,0.21,22.73,140.549
140.546,-0.0633458,2.79071,0.0255702,-0.00397517,140.55,140.552,0.21,22.73,140.549
140.546,-0.0701198,3.00172,0.104806,-0.0042757,140.551,140.552,-0.02,22.73,140.56
140.546,-0.0701198,3.00172,0.104806,-0.0042757,140.551,140.552,-0.02,22.73,140.549
140.546,-0.0760326,3.02758,0.11018,-0.00471283,140.551,140.551,-0.7,22.73,140.549
140.546,-0.0760326,3.02758,0.11018,-0.00471283,140.551,140.551,-0.7,22.73,140.549
140.546,-0.0767307,2.94863,0.0751547,-0.00497238,140.551,140.55,-0.39,22.73,140.549
140.546,-0.0767307,2.94863,0.0751547,-0.00497238,140.551,140.55,-0.39,22.73,140.549
140.546,-0.0744845,2.89009,0.0492013,-0.00505434,140.551,140.55,0.15,22.73,140.549
140.546,-0.0744845,2.89009,0.0492013,-0.00505434,140.551,140.55,0.15,22.73,140.549
140.546,-0.0728187,2.88737,0.0455614,-0.00509532,140.551,140.551,0.33,22.73,140.543
140.546,-0.0728187,2.88737,0.0455614,-0.00509532,140.551,140.551,0.33,22.73,140.549
140.546,-0.0727255,2.94863,0.0665525,-0.00519094,140.551,140.552,0.39,22.73,140.549
140.546,-0.0727255,2.94863,0.0665525,-0.00519094,140.551,140.552,0.39,22.73,140.549
140.546,-0.0744291,3.02894,0.0940571,-0.00539585,140.552,140.552,0.21,22.73,140.549
140.546,-0.0744291,3.02894,0.0940571,-0.00539585,140.552,140.552,0.21,22.73,140.549
140.546,-0.0766627,2.90642,0.0428083,-0.00566906,140.552,140.55,-0.88,22.73,140.549
140.546,-0.0766627,2.90642,0.0428083,-0.00566906,140.552,140.55,-0.88,22.73,140.549
140.546,-0.0731962,2.675,-0.0483196,-0.00564174,140.551,140.549,-0.57,22.73,140.554
140.546,-0.0731962,2.675,-0.0483196,-0.00564174,140.551,140.549,-0.57,22.73,140.549
140.546,-0.0666833,2.43405,-0.139765,-0.00531389,140.551,140.549,-0.21,22.73,140.549
140.546,-0.0666833,2.43405,-0.139765,-0.00531389,140.551,140.549,-0.21,22.73,140.549
140.546,-0.0599224,2.29519,-0.188712,-0.00478113,140.55,140.549,0.27,22.73,140.543
140.546,-0.0599224,2.29519,-0.188712,-0.00478113,140.55,140.549,0.27,22.73,140.554
140.546,-0.0560478,2.37279,-0.152875,-0.00424838,140.55,140.551,0.82,22.73,140.554
140.546,-0.0560478,2.37279,-0.152875,-0.00424838,140.55,140.551,0.82,22.73,140.554
140.546,-0.0582609,2.57426,-0.0708245,-0.00401615,140.55,140.552,0.52,22.73,140.549
140.546,-0.0582609,2.57426,-0.0708245,-0.00401615,140.55,140.552,0.52,22.73,140.554
140.546,-0.0639442,2.68181,-0.0277275,-0.00407079,140.55,140.551,-0.45,22.73,140.554
140.546,-0.0639442,2.68181,-0.0277275,-0.00407079,140.55,140.551,-0.45,22.73,140.554
140.546,-0.0669732,2.54159,-0.0811229,-0.00412543,140.55,140.549,-1.24,22.73,140.554
140.546,-0.0669732,2.54159,-0.0811229,-0.00412543,140.55,140.549,-1.24,22.73,140.554
140.546,-0.0630373,2.34692,-0.153409,-0.00381125,140.549,140.548,-0.45,22.72,140.554
140.546,-0.0630373,2.34692,-0.153409,-0.00381125,140.549,140.548,-0.45,22.72,140.554
140.546,-0.0575845,2.16586,-0.217793,-0.00329215,140.549,140.547,-0.15,22.72,140.538
140.546,-0.0575845,2.16586,-0.217793,-0.00329215,140.549,140.547,-0.15,22.72,140.554
140.546,-0.0525302,2.10597,-0.233335,-0.00266377,140.548,140.548,0.27,22.73,140.554
140.546,-0.0525302,2.10597,-0.233335,-0.00266377,140.548,140.548,0.27,22.73,140.554
140.546,-0.0508914,2.28566,-0.156426,-0.00211736,140.548,140.55,0.94,22.73,140.549
140.546,-0.0508914,2.28566,-0.156426,-0.00211736,140.548,140.55,0.94,22.73,140.549
140.546,-0.055983,2.48305,-0.075483,-0.00198075,140.548,140.55,0.03,22.73,140.549
140.546,-0.055983,2.48305,-0.075483,-0.00198075,140.548,140.55,0.03,22.73,140.549
140.546,-0.0615549,2.6573,-0.00632772,-0.00202174,140.548,140.55,-0.09,22.73,140.549
140.546,-0.0615549,2.6573,-0.00632772,-0.00202174,140.548,140.55,-0.09,22.73,140.554
140.546,-0.0664601,2.6927,0.00710771,-0.00218566,140.548,140.549,-0.63,22.73,140.554
140.546,-0.0664601,2.6927,0.00710771,-0.00218566,140.548,140.549,-0.63,22.73,140.554
140.546,-0.0674524,2.61374,-0.0237642,-0.0022403,140.548,140.547,-0.57,22.72,140.554
140.546,-0.0674524,2.61374,-0.0237642,-0.0022403,140.548,140.547,-0.57,22.72,140.549
140.546,-0.0652317,2.55384,-0.0462023,-0.00211736,140.548,140.548,0.03,22.72,140.549
140.546,-0.0652317,2.55384,-0.0462023,-0.00211736,140.548,140.548,0.03,22.72,140.549
140.546,-0.0635527,2.69678,0.00991084,-0.00196709,140.548,140.549,0.94,22.73,140.549
140.546,-0.0635527,2.69678,0.00991084,-0.00196709,140.548,140.549,0.94,22.73,140.549
140.546,-0.0675727,2.92548,0.0968384,-0.00213102,140.549,140.55,0.52,22.73,140.549
140.546,-0.0675727,2.92548,0.0968384,-0.00213102,140.549,140.55,0.52,22.73,140.549
140.546,-0.0739884,3.14738,0.177958,-0.00256815,140.549,140.551,0.21,22.73,140.543
140.546,-0.0739884,3.14738,0.177958,-0.00256815,140.549,140.551,0.21,22.73,140.549
140.546,-0.0801942,3.30257,0.230501,-0.00316921,140.55,140.551,-0.02,22.73,140.549
140.546,-0.0801942,3.30257,0.230501,-0.00316921,140.55,140.551,-0.02,22.73,140.549
140.546,-0.0845093,3.24131,0.198113,-0.00381125,140.55,140.549,-0.76,22.73,140.549
140.546,-0.0845093,3.24131,0.198113,-0.00381125,140.55,140.549,-0.76,22.73,140.549
140.546,-0.082736,3.10246,0.137102,-0.00416642,140.55,140.549,-0.21,22.73,140.549
140.546,-0.082736,3.10246,0.137102,-0.00416642,140.55,140.549,-0.21,22.73,140.549
140.546,-0.0787908,3.07931,0.1226,-0.00431668,140.551,140.55,0.64,22.73,140.554
140.546,-0.0787908,3.07931,0.1226,-0.00431668,140.551,140.55,0.64,22.73,140.549
140.546,-0.0781065,3.22906,0.174826,-0.00454891,140.551,140.552,1,22.73,140.549
140.546,-0.0781065,3.22906,0.174826,-0.00454891,140.551,140.552,1,22.73,140.549
140.546,-0.0822787,3.52174,0.279856,-0.005068,140.552,140.554,1,22.73,140.549
140.546,-0.0822787,3.52174,0.279856,-0.005068,140.552,140.554,1,22.73,140.549
140.546,-0.0904516,3.68238,0.330368,-0.00594226,140.553,140.554,-0.21,22.73,140.549
140.546,-0.0904516,3.68238,0.330368,-0.00594226,140.553,140.554,-0.21,22.73,140.549
140.546,-0.0948941,3.60342,0.287122,-0.00678921,140.553,140.552,-0.76,22.73,140.549
140.546,-0.0948941,3.60342,0.287122,-0.00678921,140.553,140.552,-0.76,22.73,140.554
140.546,-0.0925989,3.26445,0.145722,-0.0073083,140.553,140.55,-1.06,22.73,140.554
140.546,-0.0925989,3.26445,0.145722,-0.0073083,140.553,140.55,-1.06,22.73,140.554
140.546,-0.0830127,2.78935,-0.0427411,-0.00726732,140.553,140.549,-0.7,22.73,140.549
140.546,-0.0830127,2.78935,-0.0427411,-0.00726732,140.553,140.549,-0.7,22.73,140.543
140.546,-0.0696351,2.39593,-0.193033,-0.00670725,140.552,140.549,0.15,22.73,140.543
140.546,-0.0696351,2.39593,-0.193033,-0.00670725,140.552,140.549,0.15,22.73,140.543
