0	-0.922916
0	-0.910776
0	-0.912440
0	-0.914211
0	-0.903670
0	-0.908293
0	-0.923447
0	-0.942097
0	-0.961641
0	-0.976953
0	-0.986861
0	-0.994863
0	-1.010999
0	-1.026988
0	-1.058860
0	-1.112480
0	-1.119009
0	-1.120376
0	-1.120673
0	-1.117869
0	-1.124604
0	-1.117198
0	-1.112823
0	-1.108462
0	-1.106365
0	-1.107331
0	-1.113419
0	-1.112044
0	-1.103658
0	-1.100457
0	-1.099459
0	-1.094664
0	-1.099654
0	-1.109681
0	-1.116538
0	-1.120320
0	-1.117435
0	-1.123935
0	-1.126462
0	-1.127588
0	-1.126542
0	-1.123542
0	-1.122711
0	-1.120736
0	-1.129088
0	-1.122193
0	-1.117062
0	-1.115094
0	-1.118098
0	-1.118029
0	-1.101135
0	-1.100670
0	-1.101029
0	-1.103345
0	-1.098555
0	-1.097678
0	-1.090522
0	-1.088671
0	-1.086576
0	-1.091818
0	-1.091517
0	-1.088532
0	-1.086494
0	-1.089462
0	-1.089413
0	-1.087127
0	-1.080768
0	-1.081488
0	-1.083639
0	-1.079481
0	-1.078290
0	-1.072883
0	-1.073676
0	-1.069288
0	-1.063934
0	-1.066797
0	-1.072036
0	-1.070043
0	-1.070831
0	-1.076138
0	-1.074631
0	-1.071998
0	-1.070697
0	-1.077512
0	-1.074195
0	-1.072693
0	-1.074777
0	-1.072365
0	-1.071638
0	-1.072140
0	-1.073145
0	-1.070930
0	-1.074947
0	-1.072179
0	-1.073840
0	-1.063700
0	-1.062372
0	-1.059658
0	-1.058147
0	-1.054906
0	-1.050386
0	-1.047277
0	-1.047850
0	-1.045763
0	-1.045770
0	-1.050069
0	-1.056176
0	-1.056857
0	-1.054639
0	-1.046250
0	-1.047874
0	-1.052981
0	-1.049813
0	-1.045732
0	-1.041860
0	-1.039962
0	-1.042093
0	-1.044135
0	-1.037990
0	-1.032282
0	-1.035778
0	-1.035538
0	-1.032096
0	-1.033365
0	-1.031251
0	-1.028557
0	-1.025159
0	-1.023109
0	-1.016663
0	-1.008253
0	-1.007433
0	-1.012308
0	-1.030015
0	-1.065198
0	-1.122452
0	-1.163884
0	-1.156654
0	-1.014201
0	-0.953257
0	-0.882192
96	-0.906303
96	-0.927478
96	-0.946071
96	-0.915751
96	-0.754642
96	-0.010810
96	0.659452
92	1.157938
92	1.209837
92	0.813985
92	0.436454
92	-0.098682
84	0.015066
84	-0.049533
84	-0.102326
84	-0.281096
84	-0.330234
84	-0.391126
80	-0.547811
80	-0.718882
80	-0.925662
80	-1.132477
80	-1.117558
80	-0.661564
80	-0.075735
176	0.277206
176	0.425542
176	-0.100499
176	-0.367942
176	-0.409482
172	-0.191450
172	-0.018921
172	0.019443
172	-0.216135
172	-0.334437
172	-0.357528
172	-0.246648
168	-0.156611
168	-0.030175
168	-0.031741
168	-0.056382
168	-0.083054
168	-0.097607
164	-0.099202
164	-0.106780
164	-0.139880
164	-0.199761
164	-0.227632
164	-0.225399
160	-0.207695
160	-0.195624
160	-0.189333
160	-0.224484
160	-0.245332
160	-0.261577
160	-0.273883
156	-0.285642
156	-0.298286
156	-0.332816
156	-0.399488
156	-0.454226
156	-0.472065
152	-0.462112
152	-0.461879
148	-0.611491
148	-0.608347
148	-0.613938
148	-0.629071
144	-0.643047
144	-0.662187
144	-0.734090
144	-0.781133
144	-0.809533
140	-0.829007
140	-0.844247
140	-0.877309
140	-0.908927
140	-0.931559
140	-0.953104
136	-0.968484
136	-0.988149
136	-1.018765
136	-1.047011
136	-1.069723
136	-1.087797
136	-1.116212
132	-1.135190
132	-1.271234
132	-1.321201
132	-1.416163
132	-1.478824
128	-1.635360
128	-1.692389
128	-1.940037
128	-2.111493
128	-2.284369
224	-2.320249
224	-2.208376
224	-1.576664
224	-1.041861
224	-0.825155
224	-0.792080
220	-0.859980
220	-0.955759
220	-1.142539
220	-1.423177
220	-1.687557
216	-1.936580
216	-2.145563
216	-2.142509
216	-2.014176
216	-2.011855
212	-2.179062
212	-1.939564
212	-1.609140
304	-1.778847
304	-1.782901
304	-1.769751
304	-1.762543
300	-1.732958
300	-1.712007
300	-1.667064
300	-1.623301
300	-1.596880
