Condition,Signal,Mean,AcStd,DominantFrequencyHz,DominantAmplitude,BroadbandSlopeDbPerDecade,BroadbandInterceptLog10
Friction wheel enabled,yaw_imu_d,4.37457708818636,0.00286096971488467,0.831946755407654,0.00316610981049866,-22.307186693064,-4.64564846442329
Friction wheel enabled,yawenc,85.2879311148088,0.0041558047593001,26.6222961730449,0.00109443776599775,-2.18143492346058,-6.87016493603598
Projectile disturbance,yaw_imu_d,7.34486023294509,0.0700213282114435,6.65557404326123,0.0761173209756821,-29.8841570066716,-1.93572841686214
Projectile disturbance,yawenc,92.0543482529117,0.0265265455083067,1.66389351081531,0.0261216298808037,-2.58843784771992,-6.6020772494986
