td_x1_d,adrc_u,eso_z3,eso_z2,esf_e1_d,eso_z1_d,yaw_actual,yaw_dps,yaw_imu_d,yawenc
-171.467,-15.4228,614.689,-0.547796,-4.75619,-166.71,-166.694,0.56698,4.37769,85.2901
-171.467,-15.4391,615.206,-0.607324,-4.75725,-166.709,-166.697,0.505944,4.3787,85.2846
-171.467,-15.4517,615.784,-0.633497,-4.7579,-166.708,-166.694,0.200769,4.3791,85.2956
-171.467,-15.466,616.443,-0.616165,-4.75862,-166.707,-166.692,-0.409583,4.37828,85.2901
-171.467,-15.4826,616.97,-0.668885,-4.75956,-166.707,-166.694,-0.470618,4.37734,85.2901
-171.467,-15.4955,617.463,-0.738051,-4.7601,-166.707,-166.694,-0.226478,4.37689,85.2901
-171.467,-15.5075,617.947,-0.810068,-4.76041,-166.706,-166.694,0.261804,4.37741,85.2846
-171.467,-15.5192,618.413,-0.889904,-4.76056,-166.706,-166.695,0.261804,4.37793,85.2846
-171.467,-15.5304,618.778,-1.02084,-4.76051,-166.707,-166.697,0.0786982,4.3781,85.2846
-171.467,-15.5389,619.252,-1.09109,-4.75995,-166.707,-166.695,-0.775794,4.37654,85.2846
-171.467,-15.5504,619.842,-1.09959,-4.75949,-166.708,-166.693,-0.409583,4.37571,85.2846
-171.467,-15.565,620.33,-1.16088,-4.75929,-166.708,-166.695,-0.287513,4.37514,85.2956
-171.467,-15.5769,621.045,-1.10202,-4.75873,-166.708,-166.69,-0.470618,4.37419,85.2846
-171.467,-15.5951,621.733,-1.05859,-4.75881,-166.708,-166.691,0.383874,4.37496,85.2956
-171.467,-15.6125,622.426,-1.01398,-4.75892,-166.708,-166.69,0.750085,4.37646,85.2956
-171.467,-15.6301,623.088,-0.986434,-4.75913,-166.708,-166.691,0.505944,4.37748,85.2846
-171.467,-15.6468,623.72,-0.974712,-4.75932,-166.708,-166.692,-0.226478,4.37702,85.2846
-171.467,-15.6627,624.329,-0.976187,-4.75947,-166.707,-166.692,-0.836829,4.37534,85.2846
-171.467,-15.6779,624.915,-0.989131,-4.75956,-166.707,-166.693,-0.592689,4.37416,85.2846
-171.467,-15.6925,625.392,-1.059,-4.75958,-166.708,-166.695,-0.592689,4.37297,85.2846
-171.467,-15.704,625.781,-1.17259,-4.75919,-166.709,-166.698,0.0176631,4.37301,85.2846
