Condition,Signal,Mean,AcStd,DominantFrequencyHz,DominantAmplitude,BroadbandSlopeDbPerDecade,BroadbandInterceptLog10
Friction wheel enabled,yaw_imu_d,3.82754315862,2.38973207902713,0.1,0.919656858901839,-24.7711917084602,-3.99264306874641
Friction wheel enabled,yawenc,84.749794019999,2.41480964118511,0.1,0.920489378436206,-6.26498690333039,-5.784079494754
Projectile disturbance,yaw_imu_d,7.34486023294509,0.0700213282114435,6.65557404326123,0.0761173209756821,-29.8841570066716,-1.93572841686214
Projectile disturbance,yawenc,92.0543482529117,0.0265265455083067,1.66389351081531,0.0261216298808037,-2.58843784771992,-6.6020772494986
