td_x1_d,adrc_u,eso_z3,eso_z2,esf_e1_d,eso_z1_d,yaw_actual,yaw_dps,yaw_imu_d,yawenc
-171.467,-250.166,10000,-2.77462,-11.4737,-159.994,-159.956,0.200769,7.31803,92.0324
-171.467,-250.166,10000,-2.70075,-11.4731,-159.994,-159.953,0.200769,7.31843,92.0324
-171.467,-250.166,10000,-2.57294,-11.4729,-159.994,-159.951,0.0176631,7.31847,92.0324
-171.467,-250.167,10000,-2.40676,-11.4732,-159.993,-159.949,-0.409583,7.31766,92.0324
-171.467,-250.168,10000,-2.26512,-11.474,-159.992,-159.949,-0.165442,7.31733,92.0269
-171.467,-250.168,10000,-2.15924,-11.475,-159.991,-159.949,-0.531653,7.31627,92.0214
-171.467,-250.169,10000,-2.14528,-11.4762,-159.99,-159.952,-0.958899,7.31436,92.0269
-171.467,-250.169,10000,-2.20087,-11.4769,-159.99,-159.955,-0.531653,7.31329,92.0324
-171.467,-250.169,10000,-2.20768,-11.4772,-159.989,-159.952,0.0786982,7.31345,92.0269
-171.467,-250.169,10000,-2.23098,-11.4778,-159.989,-159.953,0.505944,7.31447,92.0324
-171.467,-250.169,10000,-2.25939,-11.4782,-159.988,-159.953,-0.714759,7.31304,92.0214
-171.467,-250.168,10000,-2.35566,-11.4785,-159.989,-159.956,-0.226478,7.31258,92.0214
-171.467,-250.168,10000,-2.45515,-11.4783,-159.989,-159.956,-0.165442,7.31225,92.0324
-171.467,-250.167,10000,-2.48851,-11.4779,-159.989,-159.953,-0.226478,7.3118,92.0214
-171.467,-250.167,10000,-2.57772,-11.4777,-159.99,-159.956,-0.226478,7.31135,92.0214
-171.467,-250.167,10000,-2.7083,-11.4771,-159.991,-159.959,-0.470618,7.31041,92.0324
-171.467,-250.166,10000,-2.75353,-11.476,-159.992,-159.956,-0.226478,7.30996,92.0324
-171.467,-250.166,10000,-2.77313,-11.4752,-159.993,-159.956,0.322839,7.3106,92.0269
-171.467,-250.166,10000,-2.77795,-11.4745,-159.993,-159.956,0.200769,7.311,92.0269
-171.467,-250.166,10000,-2.76903,-11.4738,-159.994,-159.956,0.139733,7.31127,92.0214
-171.467,-250.166,10000,-2.80463,-11.4731,-159.995,-159.959,0.872155,7.31302,92.0324
-171.467,-250.166,10000,-2.76199,-11.4723,-159.995,-159.956,0.56698,7.31416,92.0214
-171.467,-250.166,10000,-2.76823,-11.4718,-159.996,-159.959,-0.348548,7.31346,92.0269
-171.467,-250.166,10000,-2.75691,-11.4711,-159.996,-159.958,0.0786982,7.31362,92.0269
-171.467,-250.166,10000,-2.73092,-11.4705,-159.997,-159.958,0.200769,7.31403,92.0269
-171.467,-250.166,10000,-2.69318,-11.4701,-159.997,-159.958,-0.287513,7.31346,92.0269
-171.467,-250.166,10000,-2.64706,-11.4697,-159.997,-159.958,-0.104407,7.31325,92.0269
-171.467,-250.166,10000,-2.59613,-11.4696,-159.997,-159.958,-0.226478,7.31279,92.0324
-171.467,-250.167,10000,-2.4867,-11.4695,-159.997,-159.955,-0.0433721,7.3127,92.0324
-171.467,-250.167,10000,-2.33443,-11.4699,-159.996,-159.952,0.139733,7.31298,92.0214
-171.467,-250.168,10000,-2.26706,-11.4708,-159.995,-159.955,0.383874,7.31374,92.0214
-171.467,-250.168,10000,-2.27344,-11.4715,-159.995,-159.958,0.0176631,7.31377,92.0269
-171.467,-250.168,10000,-2.23664,-11.4719,-159.994,-159.956,0.0176631,7.3138,92.0324
-171.467,-250.169,10000,-2.15907,-11.4726,-159.993,-159.953,0.139733,7.31408,92.0324
-171.467,-250.169,10000,-2.10052,-11.4736,-159.992,-159.953,0.505944,7.31508,92.0324
-171.467,-250.169,10000,-2.06167,-11.4746,-159.991,-159.953,0.0786982,7.31523,92.0269
-171.467,-250.169,10000,-2.05051,-11.4756,-159.99,-159.953,0.0176631,7.31526,92.0324
-171.467,-250.17,10000,-2.10408,-11.4766,-159.99,-159.955,-0.0433721,7.31516,92.0269
-171.467,-250.169,10000,-2.16945,-11.4771,-159.99,-159.955,0.139733,7.31543,92.0324
-171.467,-250.169,10000,-2.1861,-11.4775,-159.989,-159.953,0.0176631,7.31546,92.0214
-171.467,-250.169,10000,-2.27509,-11.478,-159.989,-159.956,-0.287513,7.31489,92.0214
-171.467,-250.168,10000,-2.37143,-11.478,-159.989,-159.956,0.322839,7.31553,92.0324
-171.467,-250.168,10000,-2.4057,-11.4778,-159.989,-159.953,0.505944,7.31654,92.0324
-171.467,-250.168,10000,-2.3872,-11.4778,-159.989,-159.951,0.0786982,7.31668,92.0269
-171.467,-250.168,10000,-2.38218,-11.4781,-159.989,-159.951,-0.165442,7.31634,92.0324
-171.467,-250.168,10000,-2.38081,-11.4783,-159.989,-159.951,0.0786982,7.31648,92.0324
-171.467,-250.168,10000,-2.38271,-11.4785,-159.988,-159.951,0.0176631,7.31651,92.0324
-171.467,-250.168,10000,-2.3875,-11.4786,-159.988,-159.951,0.322839,7.31715,92.0269
