td_x1_d,adrc_u,eso_z3,eso_z2,esf_e1_d,eso_z1_d,yaw_actual,yaw_dps,yaw_imu_d,yawenc
-1.44107,0,0,0,0,-1.44107,-1.44107,0.383902,-1.44107,104.1
-1.44116,0,0,0,0,-1.44116,-1.44116,-0.0433753,-1.44116,104.1
-1.44063,0,0,0,0,-1.44063,-1.44063,0.261823,-1.44063,104.095
-1.4406,0,0,0,0,-1.4406,-1.4406,0.0176644,-1.4406,104.106
-1.44032,0,0,0,0,-1.44032,-1.44032,0.139744,-1.44032,104.1
-1.43991,0,0,0,0,-1.43991,-1.43991,0.200783,-1.43991,104.1
-1.43951,0,0,0,0,-1.43951,-1.43951,0.200783,-1.43951,104.106
-1.43972,0,0,0,0,-1.43972,-1.43972,-0.104415,-1.43972,104.106
-1.43956,0,0,0,0,-1.43956,-1.43956,0.078704,-1.43956,104.1
-1.43879,0,0,0,0,-1.43879,-1.43879,0.383902,-1.43879,104.1
-1.43961,0,0,0,0,-1.43961,-1.43961,-0.409613,-1.43961,104.1
-1.43995,0,0,0,0,-1.43995,-1.43995,-0.165455,-1.43995,104.1
-1.44028,0,0,0,0,-1.44028,-1.44028,-0.165455,-1.44028,104.095
-1.43975,0,0,0,0,-1.43975,-1.43975,0.261823,-1.43975,104.106
-1.43947,0,0,0,0,-1.43947,-1.43947,0.139744,-1.43947,104.106
-1.43882,0,0,0,0,-1.43882,-1.43882,0.322863,-1.43882,104.089
-1.43903,0,0,0,0,-1.43903,-1.43903,-0.104415,-1.43903,104.1
-1.43924,0,0,0,0,-1.43924,-1.43924,-0.104415,-1.43924,104.095
-1.4392,0,0,0,0,-1.4392,-1.4392,0.0176644,-1.4392,104.1
-1.43941,0,0,0,0,-1.43941,-1.43941,-0.104415,-1.43941,104.106
-1.43852,0,0,0,0,-1.43852,-1.43852,0.444942,-1.43852,104.1
-1.43787,0,0,0,0,-1.43787,-1.43787,0.322863,-1.43787,104.1
-1.43894,0,0,0,0,-1.43894,-1.43894,-0.531693,-1.43894,104.1
-1.43976,0,0,0,0,-1.43976,-1.43976,-0.409613,-1.43976,104.095
-1.43911,0,0,0,0,-1.43911,-1.43911,0.322863,-1.43911,104.095
-1.4392,0,0,0,0,-1.4392,-1.4392,-0.0433753,-1.4392,104.1
-1.43855,0,0,0,0,-1.43855,-1.43855,0.322863,-1.43855,104.106
-1.43802,0,0,0,0,-1.43802,-1.43802,0.261823,-1.43802,104.1
-1.43946,0,0,0,0,-1.43946,-1.43946,-0.714811,-1.43946,104.095
-1.44016,0,0,0,0,-1.44016,-1.44016,-0.348574,-1.44016,104.1
-1.43927,0,0,0,0,-1.43927,-1.43927,0.444942,-1.43927,104.1
-1.4385,0,0,0,0,-1.4385,-1.4385,0.383902,-1.4385,104.1
-1.43883,0,0,0,0,-1.43883,-1.43883,-0.165455,-1.43883,104.1
-1.43904,0,0,0,0,-1.43904,-1.43904,-0.104415,-1.43904,104.1
-1.43876,0,0,0,0,-1.43876,-1.43876,0.139744,-1.43876,104.1
-1.43909,0,0,0,0,-1.43909,-1.43909,-0.165455,-1.43909,104.1
-1.43979,0,0,0,0,-1.43979,-1.43979,-0.348574,-1.43979,104.106
-1.43987,0,0,0,0,-1.43987,-1.43987,-0.0433753,-1.43987,104.1
-1.43972,0,0,0,0,-1.43972,-1.43972,0.078704,-1.43972,104.1
-1.44005,0,0,0,0,-1.44005,-1.44005,-0.165455,-1.44005,104.106
-1.44063,0,0,0,0,-1.44063,-1.44063,-0.287534,-1.44063,104.1
-1.43986,0,0,0,0,-1.43986,-1.43986,0.383902,-1.43986,104.1
-1.44055,0,0,0,0,-1.44055,-1.44056,-0.348574,-1.44056,104.1
-1.4404,0,0,0,0,-1.4404,-1.4404,0.078704,-1.4404,104.089
-1.43975,0,0,0,0,-1.43975,-1.43975,0.322863,-1.43975,104.106
-1.43935,0,0,0,0,-1.43935,-1.43935,0.200783,-1.43935,104.095
-1.43943,0,0,0,0,-1.43943,-1.43943,-0.0433753,-1.43943,104.1
-1.43964,0,0,0,0,-1.43964,-1.43964,-0.104415,-1.43964,104.1
-1.44059,0,0,0,0,-1.44059,-1.44059,-0.470653,-1.44059,104.1
-1.44031,0,0,0,0,-1.44031,-1.44031,0.139744,-1.44031,104.1
-1.44002,0,0,0,0,-1.44002,-1.44002,0.139744,-1.44002,104.1
-1.44072,0,0,0,0,-1.44072,-1.44072,-0.348574,-1.44072,104.1
-1.44155,0,0,0,0,-1.44155,-1.44155,-0.409613,-1.44155,104.1
-1.44163,0,0,0,0,-1.44163,-1.44163,-0.0433753,-1.44163,104.095
-1.4416,0,0,0,0,-1.4416,-1.4416,0.0176644,-1.4416,104.1
-1.44144,0,0,0,0,-1.44144,-1.44144,0.078704,-1.44144,104.1
-1.4419,0,0,0,0,-1.4419,-1.4419,-0.226494,-1.4419,104.1
-1.44247,0,0,0,0,-1.44247,-1.44247,-0.287534,-1.44247,104.106
-1.44231,0,0,0,0,-1.44231,-1.44231,0.078704,-1.44231,104.1
-1.44203,0,0,0,0,-1.44203,-1.44203,0.139744,-1.44203,104.1
-1.44237,0,0,0,0,-1.44237,-1.44237,-0.165455,-1.44237,104.095
